ITER,KERNEL,PRECISION,RECALL,F-SCORE,C,GAMMA
2,sigmoid,[ 0.92146597  0.88516746],[ 0.88   0.925],[ 0.90025575  0.90464548],1000,0.01
2,sigmoid,[ 0.91326531  0.89705882],[ 0.895  0.915],[ 0.9040404   0.90594059],1000,0.1
2,sigmoid,[ 0.84651163  0.9027027 ],[ 0.91   0.835],[ 0.87710843  0.86753247],1000,1
2,sigmoid,[ 0.23979592  0.25      ],[ 0.235  0.255],[ 0.23737374  0.25247525],1000,10
2,sigmoid,[ 0.36574074  0.3423913 ],[ 0.395  0.315],[ 0.37980769  0.328125  ],1000,100
2,sigmoid,[ 0.40291262  0.39690722],[ 0.415  0.385],[ 0.408867    0.39086294],1000,1000
2,rbf,[ 0.92972973  0.86976744],[ 0.86   0.935],[ 0.89350649  0.90120482],0.01,0.001
2,rbf,[ 0.92934783  0.86574074],[ 0.855  0.935],[ 0.890625    0.89903846],0.01,0.01
2,rbf,[ 0.93370166  0.85844749],[ 0.845  0.94 ],[ 0.88713911  0.8973747 ],0.01,0.1
2,rbf,[ 0.93854749  0.85520362],[ 0.84   0.945],[ 0.88654354  0.89786223],0.01,1
2,rbf,[ 0.93513514  0.8744186 ],[ 0.865  0.94 ],[ 0.8987013  0.9060241],0.01,10
2,rbf,[ 0.9862069   0.77647059],[ 0.715  0.99 ],[ 0.82898551  0.87032967],0.01,100
2,rbf,[ 0.56764706  0.88333333],[ 0.965  0.265],[ 0.71481481  0.40769231],0.01,1000
2,rbf,[ 0.92972973  0.86976744],[ 0.86   0.935],[ 0.89350649  0.90120482],0.1,0.001
2,rbf,[ 0.92934783  0.86574074],[ 0.855  0.935],[ 0.890625    0.89903846],0.1,0.01
2,rbf,[ 0.93854749  0.85520362],[ 0.84   0.945],[ 0.88654354  0.89786223],0.1,0.1
2,rbf,[ 0.93548387  0.87850467],[ 0.87  0.94],[ 0.9015544   0.90821256],0.1,1
2,rbf,[ 0.92307692  0.90243902],[ 0.9    0.925],[ 0.91139241  0.91358025],0.1,10
2,rbf,[ 0.92592593  0.88151659],[ 0.875  0.93 ],[ 0.89974293  0.90510949],0.1,100
2,rbf,[ 0.94   0.764],[ 0.705  0.955],[ 0.80571429  0.84888889],0.1,1000
2,rbf,[ 0.92972973  0.86976744],[ 0.86   0.935],[ 0.89350649  0.90120482],1,0.001
2,rbf,[ 0.93854749  0.85520362],[ 0.84   0.945],[ 0.88654354  0.89786223],1,0.01
2,rbf,[ 0.93548387  0.87850467],[ 0.87  0.94],[ 0.9015544   0.90821256],1,0.1
2,rbf,[ 0.93048128  0.87793427],[ 0.87   0.935],[ 0.89922481  0.90556901],1,1
2,rbf,[ 0.92307692  0.90243902],[ 0.9    0.925],[ 0.91139241  0.91358025],1,10
2,rbf,[ 0.921875    0.88942308],[ 0.885  0.925],[ 0.90306122  0.90686275],1,100
2,rbf,[ 0.90643275  0.80349345],[ 0.775  0.92 ],[ 0.83557951  0.85780886],1,1000
2,rbf,[ 0.93854749  0.85520362],[ 0.84   0.945],[ 0.88654354  0.89786223],10,0.001
2,rbf,[ 0.93548387  0.87850467],[ 0.87  0.94],[ 0.9015544   0.90821256],10,0.01
2,rbf,[ 0.93085106  0.88207547],[ 0.875  0.935],[ 0.90206186  0.90776699],10,0.1
2,rbf,[ 0.92592593  0.88151659],[ 0.875  0.93 ],[ 0.89974293  0.90510949],10,1
2,rbf,[ 0.92307692  0.90243902],[ 0.9    0.925],[ 0.91139241  0.91358025],10,10
